Fiscal Year,Professor Name,Department,Project Name,Project Duration,Project Cost
111,丘宏昌,國立清華大學科技管理研究所,全通路環境下隱私顧慮對品牌態度之研究,2022/08/01~2025/07/31,"1,674,000元"
111,何榮銘,國立清華大學化學工程學系（所）,高有序奈米網狀超穎材料薄膜之製備與應用(2/3),2022/08/01~2023/07/31,"6,460,000元"
111,何英宏,國立清華大學天文學研究所,ICOENIKs:行星構建塊的初始組成和演化,2022/01/01~2024/07/31,"5,267,000元"
111,余怡德,國立清華大學物理學系（所）,飛行量子位元—單光子的量子資訊操控(5/5),2022/08/01~2024/01/31,"16,000,000元"
111,余立棠,國立清華大學英語教學系,從教師的視角探討全英語授課議題,2022/08/01~2023/07/31,"661,000元"
111,信世昌,國立清華大學華語中心,海外華校傳承語教學之發展與維持—疫情衝擊下的華文教育變革,2022/08/01~2024/01/31,"756,000元"
111,傅士珍,國立清華大學外國語文學系（所）,李查．賴特《斯土斯子》譯注,2022/08/01~2025/07/31,"1,638,000元"
111,兪在元,國立清華大學服務科學研究所,廣告裡的好奇心效應:大規模隨機對照試驗的實證研究,2022/08/01~2024/07/31,"656,000元"
111,冼芻蕘,國立清華大學經濟學系（所）,兩階段最小二乘法(2SLS)的後正則化推論：高維時間序列數據的情況,2022/08/01~2024/07/31,"1,670,000元"
111,劉昌樺,國立清華大學光電工程研究所,以二維奈米材料發展中紅外波段的光子偵測器、發光二極體和成像系統(2/2),2022/08/01~2023/10/31,"2,040,000元"
111,劉思妤,國立清華大學中國文學系（所）,荒木見悟宋明理學研究,2022/08/01~2023/07/31,"480,000元"
111,劉怡君,國立清華大學電子工程研究所,毫米波相位陣列收發機應用於5G行動通訊,2022/08/01~2023/07/31,"923,000元"
111,劉政宏,國立清華大學教育心理與諮商學系,感同身受與就事論事：同理心特質與正確性動機對網路霸凌旁觀者救助傾向與行為的效果與機制,2022/08/01~2025/01/31,"1,871,000元"
111,劉光浩,國立清華大學通訊工程研究所,對巨量機器類型通訊中的狀態更新問題建模與優化,2022/08/01~2025/07/31,"3,388,000元"
111,劉瑞雄,國立清華大學化學系（所）,前瞻物質基礎與應用科學中心(5/5),2022/03/01~2023/09/30,"21,000,000元"
111,劉承慧,國立清華大學中國文學系（所）,先秦漢語的言說主觀構式――以《左傳》為主要論據的研究,2022/08/01~2023/07/31,"801,000元"
111,劉承賢,國立清華大學動力機械工程學系,針對腹膜轉移癌之個人化精準熱化療藥篩晶片與微型化系統(2/3),2022/08/01~2023/10/16,"5,700,000元"
111,劉秀雪,國立清華大學臺灣語言研究與教學研究所,閩南語方言差與語法教學探究,2022/08/01~2025/07/31,"2,758,000元"
111,劉俊葳,國立清華大學動力機械工程學系,高階醫電用光學影像鏡片智慧定心製程系統開發(3/3),2022/11/01~2023/10/31,"1,240,000元"
111,劉英麟,國立清華大學化學工程學系（所）,高玻璃轉移溫度與高機械強度之類玻璃高分子:合成途徑、性質與應用研究,2022/08/01~2025/07/31,"5,402,000元"
111,劉柳書琴,國立清華大學台灣文學研究所,隘勇線戰爭書寫：泰雅族、太魯閣族歷史家園的流離經驗,2022/08/01~2025/07/31,"2,240,000元"
111,劉懿璇,國立清華大學生命科學暨醫學院,癌症免疫療法：使用新穎多功能奈米粒子阻斷CTLA-4並消除ICER表現，以免疫檢查點阻斷方式復蘇抗癌反應,2022/03/01~2025/02/28,"6,035,000元"
111,卓士堯,國立清華大學數學系（所）,具有限生成賦值半群的射影多樣體,2022/08/01~2024/07/31,"1,905,000元"
111,史馬丁,國立清華大學物理學系（所）,對於舊問題的新探討(2/3),2022/08/01~2023/12/31,"803,000元"
111,吳國安,國立清華大學物理學系（所）,複雜系統的動力學與不穩定性－於生物系統與奈米材料的探討,2022/08/01~2023/07/31,"802,000元"
111,吳夙欽,國立清華大學生物科技研究所,流感病毒神經胺酸酶抗原設計與忌熱型腸毒素A次單元佐劑之黏膜免疫加乘作用(3/3),2022/11/01~2023/10/31,"4,000,000元"
111,吳孟奇,國立清華大學電子工程研究所,應用於功率切換之單石積體化氮化鎵疊接式電晶體之研製(2/3),2022/11/01~2023/12/31,"4,000,000元"
111,吳孟奇,國立清華大學電子工程研究所,次世代微型面射型雷射與光波長轉換顯示器之研製(1/3),2022/11/01~2023/12/31,"4,000,000元"
111,吳孟奇,國立清華大學電子工程研究所,高解析度主動矩陣式紅光微型發光二極體顯示器之研製(1/2),2022/08/01~2023/10/31,"1,596,000元"
111,吳誠文,國立清華大學電機工程學系（所）,用於提高系統可靠度之以共生系統模型為基礎的神經網路運算框架(1/2),2022/08/01~2023/07/31,"3,600,000元"
111,吳財福,國立清華大學電機工程學系（所）,具電網實/虛功補償之電動載具充電樁關鍵轉換器研製(2/3),2022/11/01~2023/10/31,"3,000,000元"
111,吳仁銘,國立清華大學通訊工程研究所,下世代非地面網路低軌道衛星通訊收發關鍵技術及應用,2022/08/01~2025/07/31,"3,177,000元"
111,吳志明,國立清華大學材料科學工程學系（所）,前瞻高熵壓電觸媒在水資源處理之開發與應用(2/3),2022/08/01~2023/07/31,"4,500,000元"
111,吳志明,國立清華大學材料科學工程學系（所）,零排放耦合型壓光電子異質結構觸媒在空氣淨化暨活體細胞治療之研究,2022/08/01~2025/07/31,"4,710,000元"
111,吳建亨,國立清華大學外國語文學系（所）,後人類時代的政治思考：普羅米修斯主義與批判的承諾,2022/08/01~2026/07/31,"1,724,000元"
111,呂昀儒,國立清華大學物理學系（所）,使用ATLAS探測器紀錄之H->WW*事件量測希格斯玻色子有效耦合的CP性質及其有效場論解釋,2022/08/01~2024/07/31,"240,000元"
111,呂明諺,國立清華大學材料科學工程學系（所）,原子尺度臨場觀測技術於材料熱處理、晶體成長、電化學和催化反應之探討(4/5),2022/02/01~2023/04/30,"5,610,000元"
111,呂世源,國立清華大學化學工程學系（所）,高效穩定價廉可充式鋅空氣電池雙功能空氣極單原子氧氣反應電觸媒開發,2022/08/01~2025/07/31,"7,208,000元"
111,呂紹酉,國立清華大學社會學研究所,臺灣女性的跨國微型創業：韓國快時尚代購的跨國社群與網絡建構,2022/08/01~2023/07/31,"480,000元"
